Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,011003,1876,14.7,0.5,122.4,10.9,61.0,9.4,23.4,10.4,8.9,10.4,14.5,1.3,287.8
IDCJAC0001,011003,1877,2.5,20.1,1.8,205.0,41.9,16.0,23.6,3.6,4.8,2.8,4.1,23.9,350.1
IDCJAC0001,011003,1878,0.0,3.6,17.5,8.9,18.8,26.9,25.9,8.6,16.3,17.5,3.6,14.2,161.8
IDCJAC0001,011003,1879,2.5,1.5,16.8,19.6,23.9,16.5,54.9,60.2,23.9,4.6,53.3,2.5,280.2
IDCJAC0001,011003,1880,3.3,1.3,85.6,14.0,34.5,1.8,11.7,15.0,13.2,14.0,15.2,7.9,217.5
IDCJAC0001,011003,1881,44.2,0.8,1.3,6.9,18.8,32.0,7.1,27.4,10.9,24.4,4.1,32.0,209.9
IDCJAC0001,011003,1882,49.3,0.0,23.1,56.1,44.2,32.5,3.8,28.4,2.3,37.6,24.6,6.1,308.0
IDCJAC0001,011003,1883,26.4,2.3,7.9,5.1,25.4,25.7,32.3,19.8,27.9,14.0,21.1,2.3,210.2
IDCJAC0001,011003,1884,41.1,14.7,33.0,23.6,31.0,17.5,22.1,7.1,19.1,18.5,15.2,16.0,258.9
IDCJAC0001,011003,1885,0.0,28.7,14.5,58.9,31.8,22.6,20.3,6.1,36.1,11.4,21.6,2.0,254.0
IDCJAC0001,011003,1886,61.0,2.3,1.5,35.1,13.2,25.7,48.8,45.2,21.1,17.5,5.8,4.6,281.8
IDCJAC0001,011003,1887,30.2,6.1,1.0,46.7,32.5,60.7,7.4,14.2,6.4,3.3,35.8,15.5,259.8
IDCJAC0001,011003,1888,55.1,1.3,0.8,2.3,5.8,24.9,18.0,34.8,8.4,16.5,2.5,1.5,171.9
IDCJAC0001,011003,1889,11.2,3.0,35.8,26.4,32.3,72.6,12.4,19.1,22.1,6.4,10.9,3.6,255.8
IDCJAC0001,011003,1890,0.8,4.1,2.0,31.2,27.9,32.3,38.6,7.6,7.1,24.6,15.0,1.0,192.2
IDCJAC0001,011003,1891,2.5,0.3,3.6,15.2,50.3,62.0,35.1,10.9,35.1,28.2,3.3,3.3,249.8
IDCJAC0001,011003,1892,6.1,3.8,45.7,25.1,16.0,17.0,27.7,59.4,47.2,51.6,11.2,23.6,334.4
IDCJAC0001,011003,1893,51.1,0.3,6.9,20.6,28.2,43.2,39.6,20.8,10.9,10.2,113.5,8.4,353.7
IDCJAC0001,011003,1894,5.3,0.8,12.7,2.5,24.4,4.6,36.1,23.1,11.7,9.4,1.3,4.1,136.0
IDCJAC0001,011003,1895,32.5,1.8,2.3,108.5,19.3,7.9,5.6,1.8,26.7,2.3,5.6,0.0,214.3
IDCJAC0001,011003,1896,40.1,172.7,35.6,8.9,46.5,3.0,29.7,13.2,6.4,6.1,4.8,10.2,377.2
IDCJAC0001,011003,1897,0.3,23.9,6.1,19.3,6.9,32.0,7.9,19.3,8.9,5.3,0.0,6.6,136.5
IDCJAC0001,011003,1898,0.8,26.9,4.6,22.1,21.8,83.3,7.9,10.4,0.5,15.2,6.6,2.0,202.1
IDCJAC0001,011003,1899,27.9,14.0,17.0,1.0,31.8,27.9,17.8,38.9,84.6,2.5,9.7,0.0,273.1
IDCJAC0001,011003,1900,1.0,2.0,126.2,32.8,50.0,48.0,53.1,34.0,58.4,6.4,10.9,10.2,433.0
IDCJAC0001,011003,1901,0.3,30.5,10.4,25.9,29.0,17.8,32.0,49.3,44.5,27.9,16.3,21.6,305.5
IDCJAC0001,011003,1902,29.2,8.6,9.1,9.7,45.0,40.9,6.9,11.9,32.5,29.0,25.9,79.2,327.9
IDCJAC0001,011003,1903,5.6,2.3,21.3,94.7,24.9,18.8,23.4,14.2,14.7,19.8,0.5,33.5,273.7
IDCJAC0001,011003,1904,0.8,24.9,20.3,34.8,88.6,41.1,23.1,13.0,18.5,73.9,4.1,0.0,343.1
IDCJAC0001,011003,1905,6.4,4.1,5.3,19.8,19.8,13.7,5.8,18.3,13.2,2.5,1.8,1.5,112.2
IDCJAC0001,011003,1906,53.6,1.5,0.8,0.0,38.4,22.1,33.3,45.2,3.8,12.7,50.8,9.9,272.1
IDCJAC0001,011003,1907,8.1,0.3,30.2,17.3,13.0,19.8,9.4,20.6,5.3,5.8,43.7,0.5,174.0
IDCJAC0001,011003,1908,0.0,54.1,33.0,39.4,18.0,49.0,11.6,44.6,18.7,24.8,0.3,3.8,297.3
IDCJAC0001,011003,1909,2.0,9.2,13.9,27.0,53.2,36.1,27.2,79.0,2.3,25.1,15.0,0.0,290.0
IDCJAC0001,011003,1910,0.0,0.3,13.3,1.0,38.8,2.8,23.8,25.1,19.1,28.8,44.7,2.1,199.8
IDCJAC0001,011003,1911,3.6,13.1,1.6,0.8,34.4,39.3,16.9,34.9,13.6,19.3,0.0,13.4,190.9
IDCJAC0001,011003,1912,0.0,13.5,127.4,47.0,21.6,31.3,19.0,6.9,12.4,5.2,40.9,0.8,326.0
IDCJAC0001,011003,1913,4.0,51.1,1.8,1.6,36.3,8.7,12.5,10.2,16.5,23.0,0.8,1.8,168.3
IDCJAC0001,011003,1914,0.0,8.4,13.2,8.4,13.7,15.3,42.8,22.2,12.8,7.3,66.8,18.1,229.0
IDCJAC0001,011003,1915,13.7,50.2,6.9,14.5,37.7,15.8,14.0,25.7,13.4,2.5,1.5,4.6,200.5
IDCJAC0001,011003,1916,19.5,5.4,1.3,13.0,17.8,30.5,62.3,39.5,20.1,50.4,14.4,4.6,278.8
IDCJAC0001,011003,1917,11.9,7.1,33.8,40.6,50.5,33.8,19.1,23.3,22.3,19.9,27.7,34.6,324.6
IDCJAC0001,011003,1918,3.8,56.9,14.4,3.1,38.9,11.9,29.3,37.3,4.8,13.7,18.6,8.9,241.6
IDCJAC0001,011003,1919,13.5,38.1,5.1,21.8,46.3,8.7,6.0,15.0,31.2,33.7,22.4,30.7,272.5
IDCJAC0001,011003,1920,2.3,0.0,3.3,31.0,24.3,33.6,22.6,22.7,35.6,37.7,11.9,1.8,226.8
IDCJAC0001,011003,1921,1.8,1.0,6.1,7.6,72.0,35.9,2.8,20.2,14.5,13.1,16.0,53.3,244.3
IDCJAC0001,011003,1922,14.7,2.8,6.1,58.4,24.0,42.6,29.5,9.0,11.8,3.0,10.2,41.2,253.3
IDCJAC0001,011003,1923,17.5,3.1,0.8,5.9,6.1,25.7,21.4,32.3,10.7,5.1,0.5,79.9,209.0
IDCJAC0001,011003,1924,2.0,13.7,14.2,0.0,11.5,21.4,10.9,5.6,64.6,14.0,1.6,11.7,171.2
IDCJAC0001,011003,1925,69.3,33.9,4.1,14.9,77.1,11.7,30.9,22.2,18.8,24.4,10.4,0.0,317.7
IDCJAC0001,011003,1926,1.1,1.5,62.8,5.9,37.2,23.1,10.3,10.4,2.7,1.3,4.4,10.7,171.4
IDCJAC0001,011003,1927,5.8,25.5,44.2,0.5,22.7,null,null,null,null,null,11.2,1.5,null
IDCJAC0001,011003,1929,null,null,null,null,null,null,null,null,null,0.0,33.2,4.1,null
IDCJAC0001,011003,1930,0.0,148.1,13.2,26.0,42.0,8.6,11.7,41.9,4.8,43.6,4.3,17.1,361.3
IDCJAC0001,011003,1931,2.3,2.0,57.1,4.6,56.0,62.4,13.9,17.5,11.2,7.0,13.7,0.0,247.7
IDCJAC0001,011003,1932,1.6,26.2,4.3,49.3,18.1,20.6,12.8,54.7,37.9,19.6,0.3,16.7,262.1
IDCJAC0001,011003,1933,6.1,1.8,5.8,25.2,46.3,25.8,24.4,19.3,6.6,9.7,35.5,10.3,216.8
IDCJAC0001,011003,1934,4.7,3.6,69.4,77.0,0.0,89.3,28.6,22.9,12.8,17.5,14.2,1.6,341.6
IDCJAC0001,011003,1935,6.0,12.0,97.0,20.4,8.7,25.9,44.4,15.6,31.1,66.0,12.8,12.4,352.3
IDCJAC0001,011003,1936,4.1,13.0,0.9,8.6,14.8,30.6,51.7,24.1,4.6,32.4,23.4,9.5,217.7
IDCJAC0001,011003,1937,6.4,6.6,19.2,22.3,28.0,33.2,14.4,14.2,12.7,13.3,33.8,26.5,230.6
IDCJAC0001,011003,1938,12.5,8.9,4.3,27.0,46.6,24.5,21.8,16.1,6.6,6.4,1.3,7.2,183.2
IDCJAC0001,011003,1939,10.5,7.4,18.9,1.3,28.2,11.0,26.6,35.6,2.2,26.1,28.8,0.8,197.4
IDCJAC0001,011003,1940,34.1,27.4,8.1,13.5,14.6,6.1,35.2,4.3,12.6,33.5,8.4,4.2,202.0
IDCJAC0001,011003,1941,4.3,37.2,7.4,56.0,17.7,14.5,49.5,17.1,39.1,36.7,18.7,0.8,299.0
IDCJAC0001,011003,1942,95.4,6.4,32.9,6.7,39.3,23.3,10.5,22.7,13.0,6.1,13.0,9.9,279.2
IDCJAC0001,011003,1943,1.8,21.4,7.6,11.7,6.6,10.2,29.0,28.6,15.4,2.6,null,null,null
IDCJAC0001,011003,1944,0.3,3.1,9.5,26.9,42.5,8.4,19.3,10.0,15.1,3.6,33.6,40.4,212.7
IDCJAC0001,011003,1945,40.9,14.8,12.0,2.9,24.9,15.8,15.0,18.4,17.5,2.9,24.3,115.6,305.0
IDCJAC0001,011003,1946,49.1,100.7,17.5,28.3,9.5,51.2,13.8,null,null,null,null,null,null
IDCJAC0001,011003,1947,null,33.1,37.9,30.1,25.2,3.4,13.8,56.7,40.1,43.7,12.8,4.8,null
IDCJAC0001,011003,1948,2.6,14.8,2.8,9.0,10.2,15.3,18.2,14.0,4.4,26.7,29.6,3.5,151.1
IDCJAC0001,011003,1949,3.4,27.9,1.8,12.6,84.8,12.2,7.6,13.7,19.3,29.9,20.4,11.3,244.9
IDCJAC0001,011003,1950,11.2,9.8,14.3,12.6,29.9,10.0,18.5,27.7,4.6,34.0,8.7,7.4,188.7
IDCJAC0001,011003,1951,1.6,2.1,22.6,55.9,44.1,21.8,42.7,41.0,12.4,6.1,0.0,9.7,260.0
IDCJAC0001,011003,1952,12.7,8.7,1.7,48.3,32.7,9.9,18.7,11.9,6.3,72.0,11.5,9.4,243.8
IDCJAC0001,011003,1953,2.3,24.1,18.2,10.7,7.7,14.5,21.6,40.2,null,null,14.2,43.5,null
IDCJAC0001,011003,1954,35.6,0.0,0.0,26.8,36.5,57.5,19.7,17.3,10.6,46.0,6.6,12.9,269.5
IDCJAC0001,011003,1955,null,2.8,6.8,37.7,35.3,154.7,0.0,20.9,19.1,20.1,24.6,3.8,null
IDCJAC0001,011003,1956,4.3,0.8,4.2,18.3,29.4,28.1,35.9,33.5,26.6,25.1,9.4,4.3,219.9
IDCJAC0001,011003,1957,1.8,1.8,3.8,1.9,3.4,31.3,18.8,19.7,9.4,1.8,0.5,26.2,120.4
IDCJAC0001,011003,1958,null,0.5,17.4,14.0,23.8,51.5,27.4,82.0,37.3,12.0,6.7,2.1,null
IDCJAC0001,011003,1959,3.8,10.2,4.6,12.3,17.7,44.2,16.2,3.1,28.8,14.1,19.3,19.1,193.4
IDCJAC0001,011003,1960,53.3,182.1,4.2,46.6,19.7,14.3,28.7,19.9,33.7,5.4,9.9,2.1,419.9
IDCJAC0001,011003,1961,1.6,19.3,4.1,63.3,17.0,14.3,17.3,20.6,4.3,1.1,2.1,1.8,166.8
IDCJAC0001,011003,1962,7.6,34.8,50.5,14.0,37.5,14.7,19.7,11.7,56.0,55.5,null,9.0,null
IDCJAC0001,011003,1963,null,11.9,10.5,22.9,23.6,45.4,29.8,20.7,4.5,0.5,3.3,16.5,null
IDCJAC0001,011003,1964,4.1,4.3,2.8,70.3,24.9,23.3,36.8,null,56.1,15.2,26.8,15.7,null
IDCJAC0001,011003,1965,0.6,2.6,0.5,6.9,25.3,61.2,15.5,21.5,13.3,6.6,9.1,8.1,171.2
IDCJAC0001,011003,1966,11.5,10.1,19.1,13.4,49.1,50.1,11.7,27.5,29.0,23.9,17.4,57.7,320.5
IDCJAC0001,011003,1967,84.3,61.9,23.6,9.9,23.1,12.4,42.5,21.3,7.3,43.4,25.7,0.0,355.4
IDCJAC0001,011003,1968,0.0,20.6,97.2,41.3,38.1,94.5,25.2,29.0,17.5,5.6,6.8,29.4,405.2
IDCJAC0001,011003,1969,44.5,11.6,30.6,7.7,43.8,45.6,22.5,30.3,24.7,8.5,2.3,0.9,273.0
IDCJAC0001,011003,1970,1.3,1.3,4.4,23.8,26.2,14.2,16.0,40.3,41.6,8.2,6.9,14.2,198.4
IDCJAC0001,011003,1971,4.3,4.1,21.8,35.4,11.2,22.8,19.0,26.4,13.5,3.7,24.0,9.1,195.3
IDCJAC0001,011003,1972,18.9,15.4,0.3,13.5,1.2,12.4,23.5,25.3,10.3,10.2,5.6,6.9,143.5
IDCJAC0001,011003,1973,8.8,3.1,65.5,21.3,39.7,38.3,33.8,72.4,42.1,18.1,28.7,9.2,381.0
IDCJAC0001,011003,1974,5.6,20.3,8.4,73.0,69.5,30.8,46.6,25.6,54.8,31.0,22.8,2.0,390.4
IDCJAC0001,011003,1975,0.4,0.0,21.0,31.2,16.0,null,null,null,null,null,null,null,null
IDCJAC0001,011003,1976,null,null,null,null,null,null,null,null,null,22.3,47.5,1.0,null
IDCJAC0001,011003,1977,0.8,19.8,0.7,23.0,104.1,6.0,25.7,31.0,30.2,2.2,10.7,19.2,273.4
IDCJAC0001,011003,1978,15.8,15.6,6.9,16.4,25.4,15.9,71.8,72.4,63.0,19.2,44.5,10.8,377.7
IDCJAC0001,011003,1979,0.0,11.3,12.0,10.2,46.2,12.2,14.2,34.6,63.6,2.8,41.0,5.6,253.7
IDCJAC0001,011003,1980,3.0,9.0,0.4,35.2,30.8,60.4,40.6,19.4,4.2,18.6,49.6,4.0,275.2
IDCJAC0001,011003,1981,0.6,107.7,19.8,2.4,60.6,46.4,25.6,21.3,0.0,9.6,38.4,2.4,334.8
IDCJAC0001,011003,1982,8.6,35.3,44.0,29.0,38.8,14.4,13.3,3.2,41.0,14.0,6.4,22.6,270.6
IDCJAC0001,011003,1983,3.7,11.6,96.5,59.9,29.0,17.7,31.6,16.3,8.2,21.6,10.9,82.2,389.2
