Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,011008,1901,null,null,null,null,null,null,null,null,null,null,11.9,17.8,null
IDCJAC0001,011008,1902,27.9,12.7,5.3,8.4,38.6,32.0,14.0,13.7,22.9,20.3,56.4,52.6,304.8
IDCJAC0001,011008,1903,0.0,7.4,25.4,174.5,26.2,13.5,30.7,5.6,30.0,12.7,0.0,15.2,341.2
IDCJAC0001,011008,1904,6.9,10.7,14.5,15.5,43.2,23.4,19.6,3.6,23.4,104.6,0.0,2.8,268.2
IDCJAC0001,011008,1905,9.1,6.1,27.9,9.4,19.3,16.8,13.5,10.4,12.2,6.6,7.4,1.3,140.0
IDCJAC0001,011008,1906,60.2,0.0,6.9,0.0,17.8,28.2,23.9,35.3,10.4,12.7,33.3,0.0,228.7
IDCJAC0001,011008,1907,0.0,2.6,16.6,5.4,10.5,31.5,15.4,19.6,14.8,6.4,15.8,8.4,147.0
IDCJAC0001,011008,1908,8.4,51.1,35.5,36.8,51.4,35.4,16.6,35.5,16.5,27.9,8.9,2.8,326.8
IDCJAC0001,011008,1909,3.3,4.3,11.7,33.1,60.9,15.9,17.9,73.7,6.4,35.4,71.6,0.0,334.2
IDCJAC0001,011008,1910,0.0,0.0,9.7,0.0,44.4,5.3,20.5,16.8,19.3,30.0,23.9,1.5,171.4
IDCJAC0001,011008,1911,7.6,29.2,0.0,11.9,22.2,27.5,22.0,33.1,15.0,17.3,2.8,14.8,203.4
IDCJAC0001,011008,1912,0.0,23.2,151.3,15.8,13.2,31.3,33.7,10.7,14.0,3.3,41.4,2.8,340.7
IDCJAC0001,011008,1913,0.0,12.7,4.0,1.6,30.7,5.6,11.8,7.1,12.4,54.8,13.2,1.0,154.9
IDCJAC0001,011008,1914,6.3,7.1,6.8,4.3,11.1,11.6,25.3,18.0,5.9,3.3,54.4,61.5,215.6
IDCJAC0001,011008,1915,7.1,74.5,5.8,19.3,10.9,23.9,15.3,21.7,29.5,9.3,8.1,9.7,235.1
IDCJAC0001,011008,1916,10.4,5.6,0.0,6.1,15.8,24.7,76.8,31.0,10.9,34.7,3.8,0.3,220.1
IDCJAC0001,011008,1917,11.0,19.2,36.9,23.2,57.7,35.1,16.0,28.0,15.4,36.0,11.3,53.1,342.9
IDCJAC0001,011008,1918,12.2,61.2,10.3,6.8,27.3,14.7,19.6,12.1,6.4,20.5,16.5,2.5,210.1
IDCJAC0001,011008,1919,20.1,52.0,1.0,38.9,29.7,3.3,5.8,21.8,21.0,13.7,13.6,19.8,240.7
